product_id,product_name,product_category,summary,keywords,sentiment,img_link,product_link
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),WirelessUSBAdapters,"Good quality tool from d linkWiFi signal is good Nice product Overall good and a better experience It funcions It works for CP Plus Orange DVR, it works. Its not plug an play u need to install the","['dvr works', 'wifi supporting', 'jio wifi', 'linkwifi signal', '5g connectivity']",4,https://m.media-amazon.com/images/I/31+NwZ8gb1L._SX300_SY300_.jpg,https://www.amazon.in/D-Link-DWA-131-Wireless-Adapter-Black/dp/B002PD61Y4/ref=sr_1_50?qid=1672909126&s=electronics&sr=1-50
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",WirelessUSBAdapters,"The wifi dongle is a simple plug & play device, will start catching available networks right after you plug Easy to use & Portable. Can be connected to Mobile Hotspot and used in PC. Less installation process. Issues occur while installing via CD, which is available along with the product. Support Center is worse, calls  wifi connectivity is a great good result for me. However, some jitter problems did exist. This is perfect The best part about this is that it is very compact in size and very sober and elegant in design. This Software: This is actually good but not great part with the product. It easily supports net speeds upto 300 Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in Warranty: Its 3 years so I am assured that atleast for 3 years I am tension-","['usb tethering', 'best adapter', 'wifi dongle', 'alternative usb', 'pc internet']",4,https://m.media-amazon.com/images/I/31Wb+A3VVdL._SY300_SX300_.jpg,https://www.amazon.in/TP-Link-TL-WN722N-150Mbps-Wireless-Adapter/dp/B002SZEOLG/ref=sr_1_162?qid=1672909131&s=electronics&sr=1-162
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,RechargeableBatteries,Soldering the connections was bit tricky but i got it done by sanding both side surfaces of the new battery Long term performance is to be seen. Used for my philips trimmer. Gives a backup of more,"['trimmer battery', 'qt4005 trimmer', 'expensive 750mah', 'philips trimmer', '900mah cell']",4,https://m.media-amazon.com/images/I/418YrbHVLCL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Duracell-AAA-750mAh-Rechargeable-Batteries/dp/B003B00484/ref=sr_1_148?qid=1672903002&s=computers&sr=1-148
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Mice,"The best thing about this mouse is that u can remove the scrolling clip attached inside the scrolling wheel and the wheel Logitech g102 best mouse (with dpi options), else  go with this.","['mouse quality', 'best mouse', 'mouse budget', 'gaming suitable', 'good mouse']",5,https://m.media-amazon.com/images/I/31iFF1KbkpL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-B100-Optical-Mouse-Black/dp/B003L62T7W/ref=sr_1_151?qid=1672903002&s=computers&sr=1-151
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",Mice,"Good product, but too smaller than the regular one. It's little small for big hands. But best available USB transmitter: 9/10 - It's normal and can be carried inside the battery cavity. Though battery closing The main reason for you to buy this: Its battery efficiency, it will cost you only 12 INR  Fast, response time is very good. Good durable product. Its a great mouse under this price for normal office","['sized battery', 'mouse easy', 'mouse', 'mouse price', 'nice mouse']",4,https://m.media-amazon.com/images/I/31CtVvtFt+L._SY300_SX300_.jpg,https://www.amazon.in/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_163?qid=1672903002&s=computers&sr=1-163
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,PenDrives,Very chip very good Really happy to buy this pen drive comparatively with low cost Very good Storage capacity is good Like,"['chip good', 'pen drive', 'chip', 'buy pen', 'pen']",5,https://m.media-amazon.com/images/I/310mw9KTJvL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G/ref=sr_1_5?qid=1672902995&s=computers&sr=1-5
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",OpticalCables,The sound quality has definitely improved in the soundbar. However the subwoofer output has not improved significantly. I'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound,"['improved soundbar', 'sound channel', 'channel surround', 'surround sound', 'samsung sound']",3,https://m.media-amazon.com/images/I/41CF6GtnpKL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/BlueRigger-Digital-Optical-Audio-Toslink/dp/B005LJQMCK/ref=sr_1_167?qid=1672909131&s=electronics&sr=1-167
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",OpticalCables,The sound quality has definitely improved in the soundbar. However the subwoofer output has not improved significantly. I'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound,"['improved soundbar', 'sound channel', 'channel surround', 'surround sound', 'samsung sound']",3,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41CF6GtnpKL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/BlueRigger-Digital-Optical-Toslink-Meters/dp/B005LJQMZC/ref=sr_1_209?qid=1672909134&s=electronics&sr=1-209
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,SpeakerCables,After replacing the cables with these ones I noticed two things right away1. My speakers are louder2. The The product is 16 gauge pure copper multi thread wires. Sound quality is impressive. Wire is very best quality but Most of the speaker cables are Copper clad Aluminium. Majority of the audio signal travel through the outer edge of This is a cheap 16 gauge speaker and it does the job very well. Cable quality is average but you get,"['wire quality', 'speakers wires', 'speaker cables', 'quality cable', 'cable quality']",4,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41vJcrdr5mL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-16-Gauge-Speaker-Wire-Feet/dp/B006LW0WDQ/ref=sr_1_263?qid=1672909136&s=electronics&sr=1-263
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Pop-upToasters,"Simple device, functions as it should. Do not forget to preheat every time the toaster is put to Baking toast is Amazing Nyc.","['toast quality', 'toaster use', 'quality baking', 'baking toast', 'roast bread']",5,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/313jBpnrJVL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Bajaj-ATX-750-Watt-Pop-up-Toaster/dp/B0073QGKAS/ref=sr_1_194?qid=1672923600&s=kitchen&sr=1-194
