product_id,product_name,product_category,summary,keywords,sentiment
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),WirelessUSBAdapters,"Good quality tool from d linkWiFi signal is good Nice product Overall good and a better experience It funcions It works for CP Plus Orange DVR, it works. Its not plug an play u need to install the","['dvr works', 'wifi supporting', 'jio wifi', 'linkwifi signal', '5g connectivity']",4
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",WirelessUSBAdapters,"The wifi dongle is a simple plug & play device, will start catching available networks right after you plug Easy to use & Portable. Can be connected to Mobile Hotspot and used in PC. Less installation process. Issues occur while installing via CD, which is available along with the product. Support Center is worse, calls  wifi connectivity is a great good result for me. However, some jitter problems did exist. This is perfect The best part about this is that it is very compact in size and very sober and elegant in design. This Software: This is actually good but not great part with the product. It easily supports net speeds upto 300 Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in Warranty: Its 3 years so I am assured that atleast for 3 years I am tension-","['usb tethering', 'best adapter', 'wifi dongle', 'alternative usb', 'pc internet']",4
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,RechargeableBatteries,Soldering the connections was bit tricky but i got it done by sanding both side surfaces of the new battery Long term performance is to be seen. Used for my philips trimmer. Gives a backup of more,"['trimmer battery', 'qt4005 trimmer', 'expensive 750mah', 'philips trimmer', '900mah cell']",4
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Mice,"The best thing about this mouse is that u can remove the scrolling clip attached inside the scrolling wheel and the wheel Logitech g102 best mouse (with dpi options), else  go with this.","['mouse quality', 'best mouse', 'mouse budget', 'gaming suitable', 'good mouse']",5
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",Mice,"Good product, but too smaller than the regular one. It's little small for big hands. But best available USB transmitter: 9/10 - It's normal and can be carried inside the battery cavity. Though battery closing The main reason for you to buy this: Its battery efficiency, it will cost you only 12 INR  Fast, response time is very good. Good durable product. Its a great mouse under this price for normal office","['sized battery', 'mouse easy', 'mouse', 'mouse price', 'nice mouse']",4
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,PenDrives,Very chip very good Really happy to buy this pen drive comparatively with low cost Very good Storage capacity is good Like,"['chip good', 'pen drive', 'chip', 'buy pen', 'pen']",5
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",OpticalCables,The sound quality has definitely improved in the soundbar. However the subwoofer output has not improved significantly. I'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound,"['improved soundbar', 'sound channel', 'channel surround', 'surround sound', 'samsung sound']",3
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",OpticalCables,The sound quality has definitely improved in the soundbar. However the subwoofer output has not improved significantly. I'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound,"['improved soundbar', 'sound channel', 'channel surround', 'surround sound', 'samsung sound']",3
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,SpeakerCables,After replacing the cables with these ones I noticed two things right away1. My speakers are louder2. The The product is 16 gauge pure copper multi thread wires. Sound quality is impressive. Wire is very best quality but Most of the speaker cables are Copper clad Aluminium. Majority of the audio signal travel through the outer edge of This is a cheap 16 gauge speaker and it does the job very well. Cable quality is average but you get,"['wire quality', 'speakers wires', 'speaker cables', 'quality cable', 'cable quality']",4
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Pop-upToasters,"Simple device, functions as it should. Do not forget to preheat every time the toaster is put to Baking toast is Amazing Nyc.","['toast quality', 'toaster use', 'quality baking', 'baking toast', 'roast bread']",5
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),SurgeProtectors,Product is excellent. But Belkin should check with their sellers as the packaging are worst and also wear and tear Belkin surge socket for aroun 10 years for my desk top system and my tv. Working well.,"['belkin surge', 'surge protection', 'surge protector', 'surge socket', 'surge power']",4
B0085IATT6,"D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)",Routers,"Not sure what is going on, but PPPoE broadband connection is failing. Issue was MAC authentication, This one as an access point from my iBall router wifi is decent gets around 30-40 Mbps on my","['pppoe broadband', '100mbps connection', 'wifi decent', 'mbps 100mbps', 'fine wifi']",3
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),HandBlenders,"The container itself seems of great quality, has measurements on the side, and also comes with a lid so that The blender can even stand on its own if you have to leave it and attend to something else. It's Great durability and original products Very nice product for small or moderate usage. Very useful product in day to day work","['container blend', 'blending smell', 'blend', 'blender amazing', 'blending']",5
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",WirelessUSBAdapters,"The wifi dongle is a simple plug & play device, will start catching available networks right after you plug Easy to use & Portable. Can be connected to Mobile Hotspot and used in PC. Less installation process. Issues occur while installing via CD, which is available along with the product. Support Center is worse, calls  wifi connectivity is a great good result for me. However, some jitter problems did exist. This is perfect The best part about this is that it is very compact in size and very sober and elegant in design. This Software: This is actually good but not great part with the product. It easily supports net speeds upto 300 Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in Warranty: Its 3 years so I am assured that atleast for 3 years I am tension-","['usb tethering', 'best adapter', 'wifi dongle', 'alternative usb', 'pc internet']",4
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",USBCables,The cable is perfect for 3A charging devices. Support super fast charging and can be used in vehicle chargers The cable is perfect for 3A charging devices. Support super fast charging and can be used in vehicle chargers,"['3a charging', 'best cable', 'cable perfect', 'charging phone', 'cable cable']",5
