review_content,Sentiment
Looks durable Charging is fine tooNo complains,4
"Charging is really fast, good product.",4
Till now satisfied with the quality.,4
This is a good product . The charging speed is slower than the original iPhone cable,4
"Good quality, would recommend",4
Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...,5
Value for money,5
I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,5
It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,4
"Good, working fine",4
Product quality is good,4
Good,4
very good,5
"Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",3
Not quite durable and sturdy,3
Working good,4
Product,5
Very nice product,5
Working well,4
It's a really nice product,5
Good product,4
long wire,4
Charges good,4
Nice,4
"I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.",5
Good,4
Ok,3
I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,2
I like this product,5
"Bought this instead of original apple, does the work for 150rs, not as fast as apple charger but its a good option if you want cheap and good product, bought it for iPad pro 10.5 and it's working flawlessly, build quality is ok, its not like i am gonna hang my clothes on it and i want a very strong cable, even a braided cable stop working after a year, i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATE------------------------------------pin has stopped charging from one side, now i have to slip the pin to charge from other side, but i will update and let know for how long does it work",3
It’s good. Not sure about durability as the pin area feels a bit fragile,3
Does not support apple carplaySo was little disappointed about thatOther than that cable is made up of very good quality,3
Best to buy,5
100% NOT FATHFUL,5
"Writing this review post 10 months and 3 orders of the same product.Honestly Portronics Konnect L lightning cable works like magic with the original Apple charging brick.Seeing the price of the cable I initially hesitated buying as it was as low as ₹99/- with the offers and so I wasn’t sure if it would work well with my iPhone 12 or whether it would impact my iPhone’s battery health because all the other lightning cable brands were costing over ₹350/- like Wayona, Amazon Basics, etc.Earlier I was using Wayona Brand lightning cable with eventually frayed and stopped working.Charging Speed:Charges my iPhone fast enough almost similar compared to the original cable level when used with 12W Original Apple power adapter.Quality and Durability:Great quality braided cable and doesn’t tangle easily and can withstand day-to-day usage.L-Shaped pin:This is very innovative by Portronics and it makes sure the cable doesn’t get damaged even if used while charging.CarPlay and Data Sync:Works smoothly with CarPlay and syncs data effortlessly.PS: I have used this cable only with the Original Apple Charging Brick and extremely satisfied with its performance.",1
Better than I expect the product I like that Quality and I plan to buy same type cable come with usb C to Lighting cable for emergency purpose that much I love this cable. Buy for this cable only emergency uses only since Good one,5
Good product and value for money,4
It's a good product.,4
Like,5
Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,5
Good,4
Nice product and useful product,4
-,4
Sturdy but does not support 33w charging,3
Build quality is good and it is comes with 2 year warranty.,4
Good Product,4
Bought it for charging my mobile & tab but it doesn't work for Lenovo m8 tab,1
"Guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit",4
good,4
Nice,4
Good quality,5
"1.5m data cable is very useful for me. I am able to use the phone very comfortably while charging it on line with this cable. You can charge it with 15watt charger with this cable (not connected to it). Its price in local market is Rs 150, I got this cable on Amazon for Rs 67. Say with pride that we are Hindus, Jai Hind Jai Bharat",5
Worth for money - suitable for Android auto... my purpose served in car....got it for Rs.150,4
Everything is Okay. But packaging is not good feeling like seller gave is used cable.,3
Good product,4
Good product but cost is more.,3
Original cable,5
I bought this cable at 129. Using this cable for Android auto in my car. Perfectly works without any glitch.,5
Original MI cable. Will charge upto 33 watts. Got it for Rs 150.  I have 67 watt charger and I want a cable for my car so I went for it. I checked the performance with battery charging app. The charging speed is exactly half of my 67 watt original cable. Go for it.,5
It provided me turbo charging. I recommend for all Redmi note 10s mobile phones. As it provide turbo charging. I am veri happy with this product.,5
"I use this to connect an old PC to internet. I tried lubuntu 20 and ubuntu 22, it worked out of the box in both, didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.",5
"The wifi dongle is a simple plug & play device, will start catching available networks right after you plug it into your USB port, no additional installations/ softwares requires. Signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing, hence a star less.",4
"Pros:*Easy to use & Portable*Can be connected to Mobile Hotspot and used in PC( Budget Friendly)*Less installation process*No heating issues & Good Coverage*Best alternative for USB Tethering (phone's battery may get damaged for long term run with Tethering)Cons:*Internet connection speed varies at times, also depends on your modem or cellular connection*Issues occur while installing via CD, which is available along with the product( Installation driver can be downloaded from TP-Link site)*Needed to reconnect the adapter every time system is turned ON*Will not work if your software has some issues, so encountered any just update your system(worked for me)*Support Center is worse, calls are unattended most of the times or just visit nearby storeConclusion:Brought this @499/-Ideal for users who don't need very high speed internet usage",4
a good alternative for USB Tethering and are on Budge(1080p Youtube videos can be easily played with this without any interruptions),4
"wifi connectivity is a great good result for me. however, some jitter problems did exist.",4
This is perfect device to connect wifi. Go for it.,5
This wifi adopter is good working,4
